asdf_id,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2016.mean,adm,gbid,name,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,406.477742824,403.885738621,399.578507067,401.753718672,ADM1,TZA_ADM1_1_3_3_0,Kilimanjaro,ADM1,1,0,TZA,TZ-09,0
1,406.717736084,404.783503878,399.269063912,402.455700858,ADM1,TZA_ADM1_1_3_3_1,Mara,ADM1,1,1,TZA,TZ-13,1
2,405.818202931,404.517591911,399.364424194,401.993745811,ADM1,TZA_ADM1_1_3_3_2,Manyara,ADM1,1,2,TZA,TZ-26,2
3,405.975941296,404.342315908,399.022109723,402.729119508,ADM1,TZA_ADM1_1_3_3_3,Arusha,ADM1,1,3,TZA,TZ-01,3
4,405.368792295,404.019252812,399.738140321,402.379876533,ADM1,TZA_ADM1_1_3_3_4,Kagera,ADM1,1,4,TZA,TZ-05,4
5,406.525937507,404.020891841,399.477017613,402.862128431,ADM1,TZA_ADM1_1_3_3_5,Mbeya,ADM1,1,5,TZA,TZ-14,5
6,406.473515505,404.316238435,399.670116618,402.614783736,ADM1,TZA_ADM1_1_3_3_6,Singida,ADM1,1,6,TZA,TZ-23,6
7,407.682016392,404.202567515,399.659802426,402.448340406,ADM1,TZA_ADM1_1_3_3_7,Mtwara,ADM1,1,7,TZA,TZ-17,7
8,406.982605707,404.000663316,399.719138013,402.416710421,ADM1,TZA_ADM1_1_3_3_8,Iringa,ADM1,1,8,TZA,TZ-04,8
9,405.943099616,404.835588941,399.323120561,402.597578834,ADM1,TZA_ADM1_1_3_3_9,Dar es Salaam,ADM1,1,9,TZA,TZ-02,9
10,406.071806223,404.642065947,400.365935891,402.647494074,ADM1,TZA_ADM1_1_3_3_10,Lindi,ADM1,1,10,TZA,TZ-12,10
11,406.286581511,404.253564198,399.139789216,401.95368334,ADM1,TZA_ADM1_1_3_3_11,Tabora,ADM1,1,11,TZA,TZ-24,11
12,406.404939764,403.602326333,400.210663753,402.297965245,ADM1,TZA_ADM1_1_3_3_12,Pwani,ADM1,1,12,TZA,TZ-19,12
13,407.090498353,404.287971877,398.748555664,403.220425611,ADM1,TZA_ADM1_1_3_3_13,Ruvuma,ADM1,1,13,TZA,TZ-21,13
14,406.769160597,404.116951505,400.088268204,403.263556899,ADM1,TZA_ADM1_1_3_3_14,Morogoro,ADM1,1,14,TZA,TZ-16,14
15,406.722771516,404.72051244,399.563659264,402.503125226,ADM1,TZA_ADM1_1_3_3_15,Rukwa,ADM1,1,15,TZA,TZ-20,15
16,406.745584959,404.526062233,399.396711175,402.725716142,ADM1,TZA_ADM1_1_3_3_16,Kigoma,ADM1,1,16,TZA,TZ-08,16
17,406.483904454,404.086639422,399.788312364,402.451223188,ADM1,TZA_ADM1_1_3_3_17,Tanga,ADM1,1,17,TZA,TZ-25,17
18,406.83453486,404.170298961,399.304240138,402.870895981,ADM1,TZA_ADM1_1_3_3_18,Dodoma,ADM1,1,18,TZA,TZ-03,18
19,405.74212148,404.643908593,398.82968459,402.23057719,ADM1,TZA_ADM1_1_3_3_19,Zanzibar South & Central,ADM1,1,19,TZA,TZ-11,19
20,405.844076918,403.338559759,399.016085405,401.703056436,ADM1,TZA_ADM1_1_3_3_20,North Pemba,ADM1,1,20,TZA,TZ-06,20
21,406.142728848,404.784470519,399.057660511,401.741598057,ADM1,TZA_ADM1_1_3_3_21,Zanzibar North,ADM1,1,21,TZA,TZ-07,21
22,406.03761357,405.201561774,399.201198033,401.987863212,ADM1,TZA_ADM1_1_3_3_22,Zanzibar Urban/West,ADM1,1,22,TZA,TZ-15,22
23,406.373966487,403.857245898,399.033197657,401.633799105,ADM1,TZA_ADM1_1_3_3_23,South Pemba,ADM1,1,23,TZA,TZ-10,23
24,407.095889958,404.14902975,399.639253783,402.873401104,ADM1,TZA_ADM1_1_3_3_24,Katavi,ADM1,1,24,TZA,TZ-28,24
25,406.105346422,404.086668989,399.697395174,402.335349275,ADM1,TZA_ADM1_1_3_3_25,Njombe,ADM1,1,25,TZA,TZ-29,25
26,406.058949704,404.427356853,399.480566909,401.921743972,ADM1,TZA_ADM1_1_3_3_26,Geita,ADM1,1,26,TZA,TZ-27,26
27,406.571372219,404.501167292,399.27824935,402.559275258,ADM1,TZA_ADM1_1_3_3_27,Simiyu,ADM1,1,27,TZA,TZ-30,27
28,405.950313847,404.411257963,399.372252617,402.054523629,ADM1,TZA_ADM1_1_3_3_28,Mwanza,ADM1,1,28,TZA,TZ-18,28
29,406.616169515,404.513395827,399.468444402,402.226229821,ADM1,TZA_ADM1_1_3_3_29,Shinyanga,ADM1,1,29,TZA,TZ-22,29
