asdf_id,udel_precip_v501_sum.2000.mean,udel_precip_v501_sum.2001.mean,udel_precip_v501_sum.2002.mean,udel_precip_v501_sum.2003.mean,udel_precip_v501_sum.2004.mean,udel_precip_v501_sum.2005.mean,udel_precip_v501_sum.2006.mean,udel_precip_v501_sum.2007.mean,udel_precip_v501_sum.2008.mean,udel_precip_v501_sum.2009.mean,udel_precip_v501_sum.2010.mean,udel_precip_v501_sum.2011.mean,udel_precip_v501_sum.2012.mean,udel_precip_v501_sum.2013.mean,udel_precip_v501_sum.2014.mean,udel_precip_v501_sum.2015.mean,udel_precip_v501_sum.2016.mean,udel_precip_v501_sum.2017.mean,adm,gbid,name,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,851.40590547,878.36687537,1164.31613805,652.764447429,1050.0201178,816.237818558,1125.27652297,905.58950398,870.161766602,825.557766573,823.072844207,988.71622488,910.862031855,988.711271791,993.466126355,1091.14800833,916.30862823,964.272087818,ADM1,TZA_ADM1_1_3_3_0,Kilimanjaro,ADM1,1,0,TZA,TZ-09,0
1,854.945506605,1154.33140396,1227.04024568,834.738266625,935.267432284,861.627446758,1227.71796752,1013.1763684,923.121602637,912.123557343,987.251723075,1162.38992664,1041.99133508,1020.53510334,824.004940089,1180.17784845,918.226490446,963.978612459,ADM1,TZA_ADM1_1_3_3_1,Mara,ADM1,1,1,TZA,TZ-13,1
2,657.564264914,615.346771735,894.06995353,444.788153575,784.513150282,544.152464389,781.320071923,690.795586488,690.591907179,685.164088389,615.512149896,711.859212516,744.712105597,628.616077272,709.09082464,839.710857,732.440419858,708.983382006,ADM1,TZA_ADM1_1_3_3_2,Manyara,ADM1,1,2,TZA,TZ-26,2
3,645.658859217,825.554129418,1020.04023951,634.328710365,865.83140266,660.169809755,972.456630875,772.035755494,768.417756948,683.752548863,785.284522692,839.782331199,790.206088961,839.285409734,718.560059092,999.885556428,824.141870691,790.94702415,ADM1,TZA_ADM1_1_3_3_3,Arusha,ADM1,1,3,TZA,TZ-01,3
4,1155.6655654,1286.15347142,1477.31615422,983.375208691,1060.34960672,948.742641323,1282.73478942,1366.95332598,1126.6955671,1392.36639199,1314.20760986,1289.94623118,1273.06623446,1145.85137784,1190.5418709,1190.23853841,1020.1272454,1435.61737554,ADM1,TZA_ADM1_1_3_3_4,Kagera,ADM1,1,4,TZA,TZ-05,4
5,962.614866736,1005.23215652,1305.30986255,869.693775356,1092.50675633,809.929582536,1041.73218189,982.218986209,1175.32723801,1129.90505611,843.414710774,1146.00330477,1081.90341532,931.332461961,1046.22059027,1113.92916839,1238.35783393,1088.00889963,ADM1,TZA_ADM1_1_3_3_5,Mbeya,ADM1,1,5,TZA,TZ-14,5
6,650.65955372,613.155922659,888.384982109,503.571213706,670.594577062,411.468193413,726.629032093,725.619396576,769.642173854,794.261090311,561.587711143,691.292037427,820.259261353,560.687668151,662.126563192,811.973404022,789.726853029,758.20987032,ADM1,TZA_ADM1_1_3_3_6,Singida,ADM1,1,6,TZA,TZ-23,6
7,886.120706012,608.164892204,1308.13741326,615.606494699,905.941983824,598.60488788,1145.20340733,671.195739624,918.71048038,742.134257108,1050.59851694,1036.33963296,691.094307134,1108.58754276,945.773808908,998.076122515,1095.94789544,1221.15394868,ADM1,TZA_ADM1_1_3_3_7,Mtwara,ADM1,1,7,TZA,TZ-17,7
8,841.343956472,746.727547602,1061.19488448,622.730009767,888.119587068,592.634229587,788.966314449,812.577066128,917.775940591,882.815771967,798.621449252,912.227275043,836.249417818,645.714876611,939.477495753,992.2335302,932.231129366,821.814214983,ADM1,TZA_ADM1_1_3_3_8,Iringa,ADM1,1,8,TZA,TZ-04,8
9,888.891797216,871.075010028,1366.10342937,573.055774037,1027.62480369,1091.45325408,1251.20198311,945.777995681,889.481549231,875.562530564,944.960991168,1254.36545412,652.676425238,830.330371399,1107.77727255,945.483026534,679.32166281,1411.56190057,ADM1,TZA_ADM1_1_3_3_9,Dar es Salaam,ADM1,1,9,TZA,TZ-02,9
10,927.321373258,768.67539499,1331.53754019,650.229417017,993.311886583,723.721129268,1157.63959332,816.16574899,954.212145559,852.027333968,1026.70044589,1080.11876052,780.74823954,997.585636129,1044.55597379,984.784319811,1064.91430217,1224.08853913,ADM1,TZA_ADM1_1_3_3_10,Lindi,ADM1,1,10,TZA,TZ-12,10
11,824.757123385,870.329196464,1111.77279202,706.222170306,832.266614159,591.838806409,1122.21341009,919.836356624,930.49971478,923.419831791,832.070243967,869.734683308,839.485945691,932.451422804,819.917764501,1013.68381358,1014.81402136,1153.51239887,ADM1,TZA_ADM1_1_3_3_11,Tabora,ADM1,1,11,TZA,TZ-24,11
12,951.011589252,897.616585744,1381.56966138,560.826470242,1122.64513776,978.901329432,1267.05433306,993.414463423,942.562037938,924.279954632,1013.58194066,1162.60064342,821.756840474,840.833265999,1190.30411437,996.938588587,896.381263875,1300.0190871,ADM1,TZA_ADM1_1_3_3_12,Pwani,ADM1,1,12,TZA,TZ-19,12
13,1160.67443898,1072.92735301,1469.86761663,1009.92300556,1158.47320037,852.447770805,1198.08315092,1167.23591738,1076.63769104,1081.04546087,1123.47861423,1158.36090156,1013.45710249,1048.98400491,1167.51386432,1064.52838067,1124.9610181,1291.5383852,ADM1,TZA_ADM1_1_3_3_13,Ruvuma,ADM1,1,13,TZA,TZ-21,13
14,1255.58298197,1152.58327849,1548.45448531,942.686178477,1329.85202106,999.997071664,1339.48553182,1212.3511712,1210.84233954,1247.43896504,1255.94375425,1279.33581579,1239.19127373,1049.29489178,1400.53637563,1274.44030854,1268.55607578,1329.68669205,ADM1,TZA_ADM1_1_3_3_14,Morogoro,ADM1,1,14,TZA,TZ-16,14
15,902.827357507,940.477958776,1225.44009973,891.238021193,1098.20325261,746.098749265,876.868212094,899.638582613,1171.97756388,1142.77433132,855.027701356,1025.65513121,954.937464746,836.164537998,856.583235463,1091.79298223,1387.72348031,1025.14193003,ADM1,TZA_ADM1_1_3_3_15,Rukwa,ADM1,1,15,TZA,TZ-20,15
16,1053.74088691,1038.46594451,1171.60770929,919.968849651,964.260509816,861.654885803,1274.43162648,970.007070213,1119.17772923,1169.6402944,1072.40478201,1244.1315369,898.898376386,1089.35005848,1030.52072907,1177.87482963,1109.09966695,1052.34865335,ADM1,TZA_ADM1_1_3_3_16,Kigoma,ADM1,1,16,TZA,TZ-08,16
17,985.359624578,938.576240503,1258.78100241,530.755605219,1161.13412455,932.952068575,1279.51189662,1111.55150905,950.48956608,904.195864799,893.425324986,1082.32672692,935.637694103,883.170217476,1236.60094727,1084.11984299,931.292615165,1178.72503227,ADM1,TZA_ADM1_1_3_3_17,Tanga,ADM1,1,17,TZA,TZ-25,17
18,668.134110519,499.427082766,781.967800302,438.276527952,674.239525161,344.214184462,592.831519869,682.061168519,664.083307779,773.137235858,506.149915948,642.826621562,784.44692488,437.271434256,635.600352134,709.193614072,679.691218548,585.186495732,ADM1,TZA_ADM1_1_3_3_18,Dodoma,ADM1,1,18,TZA,TZ-03,18
19,1304.3,1287.3,1776.6,339.7,1850.9,1789.7,1723.2,1704.3,1374.4,1058.7,1235.6,1504.7,1051.5,961.3,1793.1,1411.4,1262.0,1758.7,ADM1,TZA_ADM1_1_3_3_19,Zanzibar South & Central,ADM1,1,19,TZA,TZ-11,19
