asdf_id,cru_tmp_yearly_mean.2016.mean,cru_tmp_yearly_mean.2015.mean,cru_tmp_yearly_mean.2014.mean,cru_tmp_yearly_mean.2013.mean,cru_tmp_yearly_mean.2012.mean,cru_tmp_yearly_mean.2011.mean,cru_tmp_yearly_mean.2010.mean,cru_tmp_yearly_mean.2009.mean,cru_tmp_yearly_mean.2008.mean,cru_tmp_yearly_mean.2007.mean,cru_tmp_yearly_mean.2006.mean,cru_tmp_yearly_mean.2005.mean,cru_tmp_yearly_mean.2004.mean,cru_tmp_yearly_mean.2003.mean,cru_tmp_yearly_mean.2002.mean,cru_tmp_yearly_mean.2001.mean,cru_tmp_yearly_mean.2000.mean,adm,gbid,name,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,22.6906938716,22.4187177535,22.3659613245,22.1770650376,22.3104373422,22.1369313949,22.3563472573,22.3507508201,21.7454320017,21.8893729482,22.0722358505,22.4914484875,22.1300330278,22.485631853,22.2848566088,22.007182158,21.9556942319,ADM1,TZA_ADM1_1_3_3_0,Kilimanjaro,ADM1,1,0,TZA,TZ-09,0
1,22.9007215519,22.4505996945,22.5102805511,22.3652089308,22.570430467,22.3510084627,22.6624890138,22.7805563627,22.0971714671,22.2053427878,22.4177320885,22.8430142652,22.7199881815,22.910814964,22.7751945215,22.4001007014,22.3047849713,ADM1,TZA_ADM1_1_3_3_1,Mara,ADM1,1,1,TZA,TZ-13,1
2,22.0073593201,21.7593131453,21.6892008219,21.5685025252,21.6291567994,21.4503196386,21.712294529,21.6804184679,21.0936946347,21.2689621278,21.4522087366,21.9045894368,21.5413779188,21.9155375478,21.6668452986,21.4303288381,21.4059678883,ADM1,TZA_ADM1_1_3_3_2,Manyara,ADM1,1,2,TZA,TZ-26,2
3,22.1888151328,21.7879026026,21.843351063,21.6673613141,21.8880744431,21.6141591688,21.8801575768,21.8919813356,21.2374834773,21.378660031,21.6064392361,22.0218213379,21.8073159997,22.0638462368,21.8838901354,21.5214872943,21.5258394734,ADM1,TZA_ADM1_1_3_3_3,Arusha,ADM1,1,3,TZA,TZ-01,3
4,22.3584687122,21.9218314683,21.9638630429,21.8808876612,21.9735868416,21.8382228224,22.2533126912,22.4579820568,21.7940682968,21.9084730238,22.0303159527,22.6624560989,22.4376757782,22.5875427102,22.4518447264,22.165160684,21.9475166844,ADM1,TZA_ADM1_1_3_3_4,Kagera,ADM1,1,4,TZA,TZ-05,4
5,21.7358444684,21.637147261,21.494514468,21.4670355206,21.3492853475,21.2388866132,21.7451817765,21.4217863179,21.0798121078,21.390193521,21.4175440268,22.0973447465,21.5841311772,21.851719329,21.5626578491,21.5014051413,21.3640697716,ADM1,TZA_ADM1_1_3_3_5,Mbeya,ADM1,1,5,TZA,TZ-14,5
6,22.635016267,22.4107087482,22.3614464808,22.2948092705,22.2713917939,22.0694255107,22.4390802154,22.3230915226,21.7884419136,22.0311019698,22.1622877173,22.7862971017,22.3421258754,22.7245512289,22.399494493,22.2512471449,22.2311311269,ADM1,TZA_ADM1_1_3_3_6,Singida,ADM1,1,6,TZA,TZ-23,6
7,25.4535301154,25.7368707765,25.4103942216,25.412182474,25.2137185924,25.3371733154,25.6912944675,25.4670337881,25.2001120204,25.5355071921,25.4197805596,25.7717340093,25.3050472268,25.6880173057,25.4528943908,25.4045843031,25.1855241174,ADM1,TZA_ADM1_1_3_3_7,Mtwara,ADM1,1,7,TZA,TZ-17,7
8,21.7628087811,21.73032404,21.533399594,21.5053332621,21.3693651395,21.2957033715,21.6911114993,21.4930679927,21.1101443049,21.3839152638,21.4768242266,22.0080298972,21.499294867,21.8804885569,21.5704250302,21.4768971242,21.3803067362,ADM1,TZA_ADM1_1_3_3_8,Iringa,ADM1,1,8,TZA,TZ-04,8
9,26.7690706828,26.7940536995,26.5453248975,26.4367904855,26.2984235982,26.3125659542,26.5919233161,26.5165417273,26.0963717954,26.3083844591,26.2617789957,26.6201175663,26.360332127,26.7607196601,26.4563630258,26.3573252254,26.1877523698,ADM1,TZA_ADM1_1_3_3_9,Dar es Salaam,ADM1,1,9,TZA,TZ-02,9
