name,year,temparature
Kilimanjaro, 2016 ,22.6906938716
Kilimanjaro, 2015 ,22.4187177535
Kilimanjaro, 2014 ,22.3659613245
Kilimanjaro, 2013 ,22.1770650376
Kilimanjaro, 2012 ,22.3104373422
Kilimanjaro, 2011 ,22.1369313949
Kilimanjaro, 2010 ,22.3563472573
Kilimanjaro, 2009 ,22.3507508201
Kilimanjaro, 2008 ,21.7454320017
Kilimanjaro, 2007 ,21.8893729482
Kilimanjaro, 2006 ,22.0722358505
Kilimanjaro, 2005 ,22.4914484875
Kilimanjaro, 2004 ,22.1300330278
Kilimanjaro, 2003 ,22.485631853
Kilimanjaro, 2002 ,22.2848566088
Kilimanjaro, 2001 ,22.007182158
Kilimanjaro, 2000 ,21.9556942319
Mara, 2016 ,22.9007215519
Mara, 2015 ,22.4505996945
Mara, 2014 ,22.5102805511
Mara, 2013 ,22.3652089308
Mara, 2012 ,22.570430467
Mara, 2011 ,22.3510084627
Mara, 2010 ,22.6624890138
Mara, 2009 ,22.7805563627
Mara, 2008 ,22.0971714671
Mara, 2007 ,22.2053427878
Mara, 2006 ,22.4177320885
Mara, 2005 ,22.8430142652
Mara, 2004 ,22.7199881815
Mara, 2003 ,22.910814964
Mara, 2002 ,22.7751945215
Mara, 2001 ,22.4001007014
Mara, 2000 ,22.3047849713
Manyara, 2016 ,22.0073593201
Manyara, 2015 ,21.7593131453
Manyara, 2014 ,21.6892008219
Manyara, 2013 ,21.5685025252
Manyara, 2012 ,21.6291567994
Manyara, 2011 ,21.4503196386
Manyara, 2010 ,21.712294529
Manyara, 2009 ,21.6804184679
Manyara, 2008 ,21.0936946347
Manyara, 2007 ,21.2689621278
Manyara, 2006 ,21.4522087366
Manyara, 2005 ,21.9045894368
Manyara, 2004 ,21.5413779188
Manyara, 2003 ,21.9155375478
Manyara, 2002 ,21.6668452986
Manyara, 2001 ,21.4303288381
Manyara, 2000 ,21.4059678883
Arusha, 2016 ,22.1888151328
Arusha, 2015 ,21.7879026026
Arusha, 2014 ,21.843351063
Arusha, 2013 ,21.6673613141
Arusha, 2012 ,21.8880744431
Arusha, 2011 ,21.6141591688
